"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
244630115,1501098803,30751769,2617154,912,0,511,0,0,"SOLUTION","PD5820",83,100,10,8,6,0,"ARA",0
413695940,1501098687,14679533,70823383,2777,0,511,0,0,"JINHAISHUN3","",80,35,10,4,4,0,"",0
257899700,1501098808,35359092,3346186,2625,0,264,0,0,"LOS126","LG9611",50,11,4,3,2,15,"FEISTEIN PILOT",240418
244750690,1501098809,31428069,2941332,2041,32,511,0,0,"IJVEER 56","PB7406",60,12,16,4,5,24,"",1596
230006760,1501098808,38227180,13612850,1070,0,344,0,0,"PILOT L-143","OJ6711",50,12,4,3,3,23,"JAKOBSTAD",1596
235011900,1501098801,30734512,1760397,1650,0,318,0,7514397,"KOMMANDOR STUART","MPQH3",90,23,37,6,6,45,"BE OST",498176
205595000,1501098800,30736286,1760201,854,0,126,0,9581526,"ZEETIJGER","ORBO",52,15,15,5,4,32,"OSTEND",244800
259073000,1501098714,31169776,773780,2571,0,68,5,9505508,"HAVILA SUBSEA","LGSY3",90,35,63,10,10,75,"GBHRW",512704
335150000,1501098791,26122936,4231240,1066,3,63,1,1002469,"LE PHARAON","HO3121",37,20,40,5,4,35,"CANNES FR",512960
236544000,1501098796,30765280,2529780,3020,0,205,5,9130951,"GRANDE ATLANTICO","ZDJO5",71,120,94,16,16,83,"ANTWERP",510799
253272000,1501098801,30588091,1048866,1346,84,132,0,9462653,"TRINIDAD","LXNI",99,64,18,8,9,49,"CALAIS",357278
431000267,1501098801,21266318,83808681,166,9,205,0,0,"AKASHIMARU","JD2459",52,10,20,3,6,39,">JP YOK HM",67584
413510690,1501098807,14651949,70837261,368,1,511,0,0,"LIYA10","",33,100,30,8,12,42,"XIAMEM",359759
205360490,1501098800,30738330,2644486,38,0,511,0,0,"THEMISII","OT3604",20,55,0,7,0,0,"E.+(5):%.",0
253242276,1501098803,30752035,2621843,1239,0,511,0,0,"BO CHRIS JR","LX2276",20,6,17,4,4,10,"BEAAA00001DOCKX00025",471488
372400000,1501098801,30779432,2558979,2242,0,31,0,9467421,"MSC MARIA SAVERIA","3FLE8",71,146,220,32,16,130," BEANR",508958
257767390,1501098734,38294404,5258992,185,78,511,0,0,"ODDEN","LG2656",30,4,9,2,2,0,"",
205148000,1501098808,31762359,3020228,2720,0,182,7,9149641,"N350 INGRID","OPNL",30,0,0,0,0,36,"DEN OEVER",1596
230995000,1501098715,30752016,2538370,3038,0,297,5,9348948,"MISIDA","OJNC",71,120,44,12,12,68,"ANTWERP",510686
244770838,1501098808,31427974,2976131,0,0,511,0,0,"STAD STAVOREN","PA2285",80,77,9,3,7,4,"SNEEK",87296
230953000,1501098807,35967216,12911924,3406,37,337,3,0,"KAIKU","OJAL",33,12,11,4,4,14,"SURVEY",651712
636092731,1501098791,30551744,910647,490,83,30,8,8920256,"RMS NEUDORF","D5LW9",70,71,12,7,5,37,"NLRTM",515072
413691180,1501098807,14646836,70828599,2280,0,511,0,0,"HAI DA YUAN HE","",60,24,23,9,8,0,"",0
261018120,1501098758,30934501,969839,250,75,511,0,0,"4 OCEANS' DREAM","SPG3364",37,0,0,0,0,0,"",0
244038000,1501098802,31704699,2801539,1708,29,174,7,0,"UK165  LUMMETJE","PDQZ",30,2,18,5,1,0,"DEN HELDER",0
