"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
367626850,1500321158,17727390,-57012324,2716,0,511,0,0,"NOKNEE","WDH5328",36,10,2,3,0,0,"",
244710041,1500321561,31833053,3239769,0,0,511,0,0,"AVANTI","",99,28,3,3,3,2,"",289758
230914000,1500321558,36304148,12748463,3278,0,160,0,9173719,"VIGGEN","OJIQ",60,15,39,6,7,0,"",1596
367460420,1500321281,17728324,-57025170,1290,0,511,0,0,"BAREFOOT BABE","WDF5190",0,15,1,2,3,0,"",0
413778497,1500321524,18814038,72874182,1446,0,511,0,0,"YU XIN HUO 10901","",70,50,18,7,5,20,"0000  K",480000
312280000,1500321552,18902647,19272057,1491,8,115,0,9470208,"MARIDIVE 518","V3KW",90,11,48,5,10,46,"ABU REDIS",629470
413381000,1500321093,23389412,70636527,1087,0,25,5,9520168,"HAIYANGSHIYOU563","BFHS",90,26,29,5,7,43,"TIAN JIN",494174
205401290,1500321558,31095584,2832532,2672,0,511,0,0,"SANTORINI","OT4012",89,110,0,5,6,20,"PERNIS",494690
279202540,1500321296,26798206,12540722,3471,0,511,1,0,"VOLKER","YT-2540",80,75,10,2,8,13,"PANCVO",385024
367192070,1500321562,17758491,-54399308,3032,0,511,0,1180722,"WARREN THOMAS","WDD7841",90,15,41,3,6,30,"FOUCHON",568734
230111470,1500321561,36142027,13275803,3083,0,511,15,0,"PILOT L124","OI-4749",50,8,5,1,4,0,"A",1596
413488640,1500321234,12159785,66127747,0,0,75,5,0,"ZI JING SHI LIU HAO","",60,32,96,13,8,35,"HAIANXINGANG",495690
233234000,1500321473,30787595,1930438,0,0,70,5,9046368,"CITY OF BARCELONA","MRDP6",70,15,85,10,10,47,"ZEEBRUGGE",490560
503569400,1500321456,-25854674,88207567,1822,0,511,0,0,"ENTOURAGE","5176",36,7,6,2,2,0,"",0
432785000,1500320578,21316078,83992295,1697,1,35,1,9233478,"NANAKURA","7JIL",9,204,31,26,17,127,"JP ANE OFF",494056
259769000,1500321569,35844623,12809986,1893,109,190,0,9378735,"STEN BOTHNIA","LAEF7",0,114,30,10,14,72,"FISKV",496384
566639000,1500319778,775716,62384014,1630,2,161,0,9628805,"COASTAL SATURN","9V9461",80,55,23,1,12,50,"SINGAPORE",769054
244740646,1500321569,31434321,2936359,1650,57,511,5,0,"ZUIDPOOL","PC3756",52,5,18,3,3,0,"TUG SERVICE A'DAM",365760
244750417,1500321551,31513245,3645798,2570,0,511,0,0,"VERENA","PI6431",79,68,12,6,4,26,"",1596
538003717,1500321493,20715139,-4930676,499,107,46,0,9431692,"TANJA RICKMERS","V7ST5",79,211,50,23,9,86,"TANGER MED<MATNG>",496256
211437770,1500321568,32127056,5974751,1900,1,511,0,0,"WILHELMSBURG","DG4037",69,26,4,4,4,17,"HAMBURG",68352
247343800,1500321563,26650809,5266074,2843,0,341,10,9799989,"GERMANIA","INIS2",52,14,15,12,1,54,"GENOVA",218078
249789000,1500321011,26124381,4218765,3502,0,118,5,9805104,"ZAZOU","9HA4375",0,30,20,5,5,29,"CANNES",480320
273398790,1500321566,35951948,17141190,3224,1,243,0,8112627,"ALTAIR","UBEP5",50,8,21,3,6,47,"UST LUGA",0
412687000,1500321335,22557717,72829366,3388,0,511,5,8511483,"DEZHI","BSJN",52,18,63,11,5,55,"YANTAI",371456
271040948,1500321569,31216683,2352678,2884,180,285,5,9422134,"CEMIL BAYULGEN","TCYG2",72,121,72,13,13,66,"GB PFT",496064
258330500,1500321567,38105800,6084820,1630,0,86,0,9534860,"KORSFJORD","LDTG",60,60,62,8,8,50,"FLAKK-ROERVIK",851451
245935000,1500321420,30755969,2645845,2510,0,271,5,9507075,"ZEALAND DELILAH","PBZI",70,115,19,15,5,94,"BEANR",492736
372913000,1500321495,18462228,-8593378,1961,117,192,0,9222340,"MELPOMENI","3EVP4",70,0,0,0,0,97,"NG LOS",519296
244670059,1500321537,31085457,3388962,1635,83,511,0,0,"CALCIT 3","PD8827",89,95,15,3,6,30,"MAASTRICHT",0
244780320,1500321533,31420675,2939256,305,24,511,5,0,"ALBERT CUYP","PD2028",69,1,18,1,3,2,"AMSTERDAM",1596
249531000,1500321570,31152519,2519667,1735,5,76,0,9434814,"SMIT PANTHER","9HA4274",52,10,22,6,7,65,"ROTTERDAM IN PORT",1596
413701250,1500321289,12022412,66166409,928,1,106,5,0,"HAN XING","BVMR5",70,143,16,12,12,79,"HAI KOU",488576
227185370,1500321000,28524759,-1739233,0,0,511,0,0,"ANGEL","",36,0,0,0,0,0,"",
211230570,1500320344,32492800,7256100,2560,0,89,15,8326333,"FLB 40-3","DBEP",99,12,29,2,6,22,"",1596
636016185,1500321570,21933572,-5127962,2859,190,288,0,9629457,"CARDIFF","D5EX4",79,198,73,16,27,113,"FELIXSTOWE",500480
710001780,1500321518,-1553688,-26620782,2460,0,511,1,9457440,"SMIT CHARRUA","PP7202",52,11,19,6,6,54,"ITAQUI PORT",523200
412330390,1500321567,21195575,71706974,2955,0,511,0,0,"RIGANGQINGWU1","R1B9NL",54,30,7,3,3,20,"",0
311019100,1500321567,20646680,19818790,1070,161,108,0,9295842,"HOEGH BERLIN","C6XQ4",70,50,178,19,13,87,"LB BEY",495936
413802878,1500321487,18899848,72825245,924,0,92,0,0,"XIN YI 936","32",70,59,10,5,7,0,"98",0
412375810,1500321189,18820318,72889562,1125,0,112,0,0,"HUBAONIJI8","000000",70,33,10,5,5,25,"SHANGHAI",334019
413995658,1500321363,13839527,68086127,0,0,511,0,0,"PINGNANYONGJIA6138","",70,42,7,6,5,0,"",
